Product_Page,Price,Brand,Review Count,Rating,Location,Link
3,48900.0,[Laptop] Surface Pro 11/Snapdragon X Plus/16GB/512GB /Black/Windows 11Home+Surface Keyboard with slim pen,1,5,กรุงเทพมหานคร,https://www.lazada.co.th/products/pdp-i5231404501.html
3,48120.0,"LG 32"" UltraGear™ Dual-Mode OLED gaming monitor (32GS95UV-B) | 4K UHD, 0.03ms (GtG) **",2,5,สมุทรปราการ,https://www.lazada.co.th/products/pdp-i5637497508.html
3,45990.0,"MSI NOTEBOOK KATANA 15 B13VGK-1637TH | 15.6"" QHD | Intel Core i7-13620H | NVIDIA GeForce RTX 4070 | 16GB(8GBx2) DDR5 | 1TB NVMe PCIe SSD | Windows 11 Home + Office Home & Student 2021()  [Pre-Order 7-15]",8,5,กรุงเทพมหานคร,https://www.lazada.co.th/products/pdp-i5007548524.html
3,44990.0,[ OLED 3K] HP Pavilion Plus Ultra 7-155H | Intel Arc | 32GB RAM | 1TB SSD | Win11+MS21 14-ew1107TU,2,5,กรุงเทพมหานคร,https://www.lazada.co.th/products/pdp-i5402990596.html
3,44990.0,New 2024 [] SAMSUNG Odyssey OLED G8 Gaming Monitor  LS32DG802SEXXT  32 ,10,5,ชลบุรี,https://www.lazada.co.th/products/pdp-i5164446889.html
3,44863.14,AKAI MPC LIVE II  Beat Maschine & Midi Controller  Stereo Built-in   Computer (ProPlugin),3,5,กรุงเทพมหานคร,https://www.lazada.co.th/products/pdp-i3478495928.html
3,44800.0,"ZOWIE XL2586X+ 24.1 Fast TN 600Hz DyAc™2 Esports Gaming Monitor ( 600hz, )",1,5,ปทุมธานี,https://www.lazada.co.th/products/pdp-i5590102883.html
3,42990.0,"[] SAMSUNG  Side by Side RH64A53F12C/ST with All-around Cooling , 22.1  (628 L)",23,4,ชลบุรี,https://www.lazada.co.th/products/pdp-i2764577393.html
3,42900.0,"15-inch MacBook Air: Apple M4 chip with 10-core CPU and 10-core GPU, 16GB SSD (2025)",7,5,ฉะเชิงเทรา,https://www.lazada.co.th/products/pdp-i5661272536.html
3,42796.0,HITACHI  4  MULTI-DOORS RWB640VF GMG Glass Mauve Gray 20.1 569    INVERTER [],22,4,สมุทรปราการ,https://www.lazada.co.th/products/pdp-i1823798429.html
3,42790.0,[]HITACHI  4  MULTI-DOORS RWB640VF GBK Glass Black  20.1 569   INVERTER,43,4,สมุทรปราการ,https://www.lazada.co.th/products/pdp-i2275329550.html
3,41990.0,"MSI NOTEBOOK KATANA 17 B13VFK-1064TH | 17.3"" FHD | Raptor Lake i7-13620H | NVIDIA GeForce RTX 4060 | 16GB(8GBX2) DDR5 | 1TB NVMe PCIe SSD | Windows 11 Home + Microsoft Office Home and Student 2021 () [Pre-Order 7-15]",9,4,กรุงเทพมหานคร,https://www.lazada.co.th/products/pdp-i5163621537.html
3,41900.0,Google Pixelbook (Refur) 12.3  Touchscreen LCD High-Performance 2in1 Chromebook/ Intel 7th Generation core i5/ 8GB/ 256GB SSD / Mac Modern,1,5,กรุงเทพมหานคร,https://www.lazada.co.th/products/pdp-i522554234.html
3,41900.0,"(Pre-Order) Apple MacBook Air  13  M4 (Y2025)  CPU  10-core, GPU  10-core, Ram 16GB SSD512GB [iStudio by UFicon]",2,5,กรุงเทพมหานคร,https://www.lazada.co.th/products/pdp-i5665775639.html
3,41900.0,"13-inch MacBook Air: Apple M4 chip with 10-core CPU and 10-core GPU, 16GB, 512GB SSD (2025)",20,5,ฉะเชิงเทรา,https://www.lazada.co.th/products/pdp-i5661130764.html
3,41258.93,[Laptop] Surface Laptop 7 13in/Snapdragon X Plus/16GB/256GB/Platinum/Windows 11 Home,5,5,กรุงเทพมหานคร,https://www.lazada.co.th/products/pdp-i5231110499.html
3,40990.0,"ASUS Vivobook S 16 OLED D5606KA-RI782WA, 16 Inch thin and light laptop, 120HZ 3K OLED, AMD Ryzen AI 7 350 Processor, 24GB LPDDR5X on board, AMD Radeon Graphics, 1TB M.2 NVMe PCIe 4.0 SSD, 13.9mm. thin, lightweight 1.5Kg.",1,5,กรุงเทพมหานคร,https://www.lazada.co.th/products/pdp-i5616858078.html
3,40660.0,Logitech Group Conference Camera ,1,5,กรุงเทพมหานคร,https://www.lazada.co.th/products/pdp-i5228701971.html
3,40490.0,"[] Online exclusive 49"" Odyssey OLED G9 G91SD DQHD 144Hz Gaming Monitor  LS49DG910SEXXT",6,5,ชลบุรี,https://www.lazada.co.th/products/pdp-i5493229450.html
3,40490.0,New 2024 [] SAMSUNG Odyssey G9 Gaming Monitor  LS49CG954EEXXT  49 ,9,5,ชลบุรี,https://www.lazada.co.th/products/pdp-i5164361471.html
3,40274.23,[Laptop] Surface Pro 11/Snapdragon X Plus/16GB/256GB /Platinum/Win11Home+Surface Keyboard with slim pen,9,5,กรุงเทพมหานคร,https://www.lazada.co.th/products/pdp-i5231196847.html
3,39990.0,( )Electrolux /  EWW1342R9SC  13/9 . (- ),1,5,กรุงเทพมหานคร,https://www.lazada.co.th/products/pdp-i5384742303.html
3,39990.0,"Notebook () Dell Inspiron14 5440 (OIN5440220801GTH) 14.0""2.2K, Intel® Core™ 7 processor 150U, MX570A,Ram16GB, SSD 1TB, Windows 11, Office 2021,  Onsite 2 ",1,5,กรุงเทพมหานคร,https://www.lazada.co.th/products/pdp-i5134018531.html
3,39990.0, Lenovo ThinkPad E14 G4 /21E4000FTH/ i7-1255U/16GB/512GB SSD/14.0″/Win11Pro (LE0898),1,5,กรุงเทพมหานคร,https://www.lazada.co.th/products/pdp-i4209630155.html
